State, ,+,-,.,E,d,e,Tag
0,,{1 },,,,,,
1,{5 },,,,,,,
2,,,{3 },,,,,
3,{5 },,,,,,,
4,{0 2 },,,,,,,
5,{7 },,,,,,,
6,{4 7 },,,,,,,-
7,{8 },,,,,,,
8,,,,,,{9 },,
9,{12 },,,,,,,
10,,,,,,{11 },,
11,{10 13 },,,,,,,
12,{10 13 },,,,,,,
13,{22 },,,,,,,
14,,,,{15 },,,,
15,{16 },,,,,,,
16,,,,,,{17 },,
17,{20 },,,,,,,
18,,,,,,{19 },,
19,{18 21 },,,,,,,
20,{18 21 },,,,,,,
21,{23 },,,,,,,
22,{14 23 },,,,,,,
23,{44 },,,,,,,
24,,,,,{25 },,,
25,{29 },,,,,,,
26,,,,,,,{27 },
27,{29 },,,,,,,
28,{24 26 },,,,,,,
29,{36 },,,,,,,
30,,{31 },,,,,,
31,{35 },,,,,,,
32,,,{33 },,,,,
33,{35 },,,,,,,
34,{30 32 },,,,,,,
35,{37 },,,,,,,
36,{34 37 },,,,,,,
37,{38 },,,,,,,
38,,,,,,{39 },,
39,{42 },,,,,,,
40,,,,,,{41 },,
41,{40 43 },,,,,,,
42,{40 43 },,,,,,,
43,{45 },,,,,,,
44,{28 45 },,,,,,,
45,,,,,,,,+
